id,year_month,variable,value,monthly_screen_time,app_to_screen_ratio
AS14.09,2014-03,appCat.entertainment,66295.14,74200.63799977304,0.8934578163627485
AS14.09,2014-03,appCat.finance,396.91499999999996,74200.63799977304,0.0053492127655454125
AS14.09,2014-03,appCat.office,40.968999999999994,74200.63799977304,0.0005521381096497487
AS14.09,2014-03,appCat.other,1132.997,74200.63799977304,0.01526937005586752
AS14.09,2014-03,appCat.social,2972.123,74200.63799977304,0.0400552216277317
AS14.09,2014-03,appCat.travel,2388.792,74200.63799977304,0.0321936854506198
AS14.09,2014-03,appCat.unknown,454.372,74200.63799977304,0.0061235592071511545
AS14.09,2014-03,appCat.utilities,188.077,74200.63799977304,0.0025347086638335277
AS14.09,2014-03,appCat.weather,85.519,74200.63799977304,0.001152537259858353
AS14.09,2014-04,appCat.builtin,7935.217000000001,88017.90900611877,0.09015457296819407
AS14.09,2014-04,appCat.communication,34317.479,88017.90900611877,0.3898920047920513
AS14.09,2014-04,appCat.entertainment,49565.191,88017.90900611877,0.5631262041973112
AS14.09,2014-04,appCat.finance,1224.918,88017.90900611877,0.013916690521639713
AS14.09,2014-04,appCat.game,256.011,88017.90900611877,0.0029086239708580536
AS14.09,2014-04,appCat.office,94.561,88017.90900611877,0.0010743381780794904
AS14.09,2014-04,appCat.other,932.364,88017.90900611877,0.010592889680385211
AS14.09,2014-04,appCat.social,1851.997,88017.90900611877,0.021041138342325925
AS14.09,2014-04,appCat.travel,4378.629,88017.90900611877,0.04974702363919608
AS14.09,2014-04,appCat.unknown,1406.006,88017.90900611877,0.01597408999914163
AS14.09,2014-04,appCat.utilities,163.197,88017.90900611877,0.0018541340261634138
AS14.09,2014-04,appCat.weather,192.0,88017.90900611877,0.0021813742472188546
AS14.12,2014-03,appCat.builtin,13897.085,33431.10500073434,0.415693259307305
AS14.12,2014-03,appCat.communication,6213.703,33431.10500073434,0.18586591738034122
AS14.12,2014-03,appCat.entertainment,5955.332,33431.10500073434,0.17813745611666704
AS14.12,2014-03,appCat.finance,11.04,33431.10500073434,0.0003302313818151538
AS14.12,2014-03,appCat.game,11.03,33431.10500073434,0.0003299322591866981
AS14.12,2014-03,appCat.office,17.189,33431.10500073434,0.0005141618860525978
