row_number,id,time,variable,value,deviation
539158,AS14.09,2014-04-10 16:33:57.239,appCat.entertainment,102.473,4.928042231093552
539182,AS14.09,2014-04-11 10:00:10.270,appCat.entertainment,59.558,14.207603536911455
539223,AS14.09,2014-04-11 13:21:00.467,appCat.entertainment,60.933,38.99071960816939
539242,AS14.09,2014-04-11 17:02:29.207,appCat.entertainment,112.202,4.291319424062266
539310,AS14.09,2014-04-12 10:00:23.138,appCat.entertainment,74.084,12.082374399790316
539345,AS14.09,2014-04-12 12:25:57.693,appCat.entertainment,61.395,11.037995534522612
539452,AS14.09,2014-04-13 11:49:25.585,appCat.entertainment,60.63,20.42687862620892
539474,AS14.09,2014-04-13 18:19:59.447,appCat.entertainment,43.475,9.263365446912353
539521,AS14.09,2014-04-14 09:02:46.326,appCat.entertainment,61.54,12.528759958383082
539532,AS14.09,2014-04-14 09:47:24.700,appCat.entertainment,42.345,7.177544375330844
539557,AS14.09,2014-04-14 17:55:10.617,appCat.entertainment,60.853,12.268860223206406
539579,AS14.09,2014-04-15 08:39:14.364,appCat.entertainment,119.555,4.299522627880867
539608,AS14.09,2014-04-15 12:02:59.904,appCat.entertainment,59.943,9.583277643441358
539629,AS14.09,2014-04-15 13:41:29.882,appCat.entertainment,61.469,9.305887874775648
539677,AS14.09,2014-04-15 23:56:20.177,appCat.entertainment,146.075,6.434668103441542
539718,AS14.09,2014-04-17 09:12:38.388,appCat.entertainment,59.674,31.26000373884323
539738,AS14.09,2014-04-17 12:40:41.174,appCat.entertainment,57.817,11.906178567277939
539825,AS14.09,2014-04-17 17:55:48.404,appCat.entertainment,42.758,7.42848492744597
539839,AS14.09,2014-04-17 18:34:13.334,appCat.entertainment,98.351,7.009823210741769
539878,AS14.09,2014-04-18 11:05:29.720,appCat.entertainment,91.211,6.550323396687924
539960,AS14.09,2014-04-18 15:20:53.881,appCat.entertainment,41.058,6.29495927937375
539998,AS14.09,2014-04-18 23:53:11.723,appCat.entertainment,60.09,10.175195768533188
540007,AS14.09,2014-04-19 00:01:55.148,appCat.entertainment,67.014,3.1790657289487476
540016,AS14.09,2014-04-19 11:45:17.701,appCat.entertainment,82.251,3.400688278622406
540052,AS14.09,2014-04-19 18:04:52.555,appCat.entertainment,66.519,7.953365063873596
540101,AS14.09,2014-04-20 11:52:25.094,appCat.entertainment,60.075,8.772785092063836
540133,AS14.09,2014-04-20 23:54:15.819,appCat.entertainment,65.508,37.79830395001222
540138,AS14.09,2014-04-21 11:23:43.045,appCat.entertainment,116.869,5.393042463465515
540171,AS14.09,2014-04-21 21:50:50.944,appCat.entertainment,113.583,3.9306158865809055
540172,AS14.09,2014-04-22 00:14:13.944,appCat.entertainment,391.926,9.471073955529196
540201,AS14.09,2014-04-22 20:34:38.713,appCat.entertainment,65.334,14.494361141732782
540326,AS14.09,2014-04-23 21:03:10.993,appCat.entertainment,227.586,7.678880452632682
540373,AS14.09,2014-04-24 22:22:21.661,appCat.entertainment,28.002,6.728034224885845
540387,AS14.09,2014-04-24 23:04:39.737,appCat.entertainment,59.249,4.659184970959094
540403,AS14.09,2014-04-25 11:11:10.381,appCat.entertainment,130.622,20.841904032660484
540420,AS14.09,2014-04-25 16:19:42.203,appCat.entertainment,306.291,26.084750490124172
